condition,coding_system,code
hypertension,ICD9,362.11
hypertension,ICD9,401.0
hypertension,ICD9,401.1
hypertension,ICD9,401.9
hypertension,ICD9,402.00
hypertension,ICD9,402.01
hypertension,ICD9,402.10
hypertension,ICD9,402.11
hypertension,ICD9,402.90
hypertension,ICD9,402.91
hypertension,ICD9,403.00
hypertension,ICD9,403.01
hypertension,ICD9,403.10
hypertension,ICD9,403.11
hypertension,ICD9,403.90
hypertension,ICD9,403.91
hypertension,ICD9,404.00
hypertension,ICD9,404.01
hypertension,ICD9,404.02
hypertension,ICD9,404.03
hypertension,ICD9,404.1
hypertension,ICD9,404.11
hypertension,ICD9,404.12
hypertension,ICD9,404.13
hypertension,ICD9,404.9
hypertension,ICD9,404.91
hypertension,ICD9,404.92
hypertension,ICD9,404.93
hypertension,ICD9,405.01
hypertension,ICD9,405.09
hypertension,ICD9,405.11
hypertension,ICD9,405.19
hypertension,ICD9,405.91
hypertension,ICD9,405.99
hypertension,ICD9,437.2
hypertension,ICD10,H35.031
hypertension,ICD10,H35.032
hypertension,ICD10,H35.033
hypertension,ICD10,H35.039
hypertension,ICD10,I10
hypertension,ICD10,I11.0
hypertension,ICD10,I11.9
hypertension,ICD10,I12.0
hypertension,ICD10,I12.9
hypertension,ICD10,I13.0
hypertension,ICD10,I13.10
hypertension,ICD10,I13.11
hypertension,ICD10,I13.2
hypertension,ICD10,I15.0
hypertension,ICD10,I15.1
hypertension,ICD10,I15.2
hypertension,ICD10,I15.8
hypertension,ICD10,I15.9
hypertension,ICD10,I67.4
hypertension,ICD10,N26.2
diabetes,ICD9,249.00
diabetes,ICD9,249.01
diabetes,ICD9,249.10
diabetes,ICD9,249.11
diabetes,ICD9,249.20
diabetes,ICD9,249.21
diabetes,ICD9,249.30
diabetes,ICD9,249.31
diabetes,ICD9,249.40
diabetes,ICD9,249.41
diabetes,ICD9,249.50
diabetes,ICD9,249.51
diabetes,ICD9,249.60
diabetes,ICD9,249.61
diabetes,ICD9,249.70
diabetes,ICD9,249.71
diabetes,ICD9,249.80
diabetes,ICD9,249.81
diabetes,ICD9,249.90
diabetes,ICD9,249.91
diabetes,ICD9,250.00
diabetes,ICD9,250.01
diabetes,ICD9,250.02
diabetes,ICD9,250.03
diabetes,ICD9,250.10
diabetes,ICD9,250.11
diabetes,ICD9,250.12
diabetes,ICD9,250.13
diabetes,ICD9,250.20
diabetes,ICD9,250.21
diabetes,ICD9,250.22
diabetes,ICD9,250.23
diabetes,ICD9,250.30
diabetes,ICD9,250.31
diabetes,ICD9,250.32
diabetes,ICD9,250.33
diabetes,ICD9,250.40
diabetes,ICD9,250.41
diabetes,ICD9,250.42
diabetes,ICD9,250.43
diabetes,ICD9,250.50
diabetes,ICD9,250.51
diabetes,ICD9,250.52
diabetes,ICD9,250.53
diabetes,ICD9,250.60
diabetes,ICD9,250.61
diabetes,ICD9,250.62
diabetes,ICD9,250.63
diabetes,ICD9,250.70
diabetes,ICD9,250.71
diabetes,ICD9,250.72
diabetes,ICD9,250.73
diabetes,ICD9,250.80
diabetes,ICD9,250.81
diabetes,ICD9,250.82
diabetes,ICD9,250.83
diabetes,ICD9,250.90
diabetes,ICD9,250.91
diabetes,ICD9,250.92
diabetes,ICD9,250.93
diabetes,ICD9,357.2
diabetes,ICD9,362.01
diabetes,ICD9,362.02
diabetes,ICD9,362.03
diabetes,ICD9,362.04
diabetes,ICD9,362.05
diabetes,ICD9,362.06
diabetes,ICD9,366.41
diabetes,ICD10,E08.00
diabetes,ICD10,E08.01
diabetes,ICD10,E08.10
diabetes,ICD10,E08.11
diabetes,ICD10,E08.21
diabetes,ICD10,E08.22
diabetes,ICD10,E08.29
diabetes,ICD10,E08.311
diabetes,ICD10,E08.319
diabetes,ICD10,E08.321
diabetes,ICD10,E08.3211
diabetes,ICD10,E08.3212
diabetes,ICD10,E08.3213
diabetes,ICD10,E08.3219
diabetes,ICD10,E08.329
diabetes,ICD10,E08.3291
diabetes,ICD10,E08.3292
diabetes,ICD10,E08.3293
diabetes,ICD10,E08.3299
diabetes,ICD10,E08.331
diabetes,ICD10,E08.3311
diabetes,ICD10,E08.3312
diabetes,ICD10,E08.3313
diabetes,ICD10,E08.3319
diabetes,ICD10,E08.339
diabetes,ICD10,E08.3391
diabetes,ICD10,E08.3392
diabetes,ICD10,E08.3393
diabetes,ICD10,E08.3399
diabetes,ICD10,E08.341
diabetes,ICD10,E08.3411
diabetes,ICD10,E08.3412
diabetes,ICD10,E08.3413
diabetes,ICD10,E08.3419
diabetes,ICD10,E08.349
diabetes,ICD10,E08.3491
diabetes,ICD10,E08.3492
diabetes,ICD10,E08.3493
diabetes,ICD10,E08.3499
diabetes,ICD10,E08.351
diabetes,ICD10,E08.3511
diabetes,ICD10,E08.3512
diabetes,ICD10,E08.3513
diabetes,ICD10,E08.3519
diabetes,ICD10,E08.3521
diabetes,ICD10,E08.3522
diabetes,ICD10,E08.3523
diabetes,ICD10,E08.3529
diabetes,ICD10,E08.3531
diabetes,ICD10,E08.3532
diabetes,ICD10,E08.3533
diabetes,ICD10,E08.3539
diabetes,ICD10,E08.3541
diabetes,ICD10,E08.3542
diabetes,ICD10,E08.3543
diabetes,ICD10,E08.3549
diabetes,ICD10,E08.3551
diabetes,ICD10,E08.3552
diabetes,ICD10,E08.3553
diabetes,ICD10,E08.3559
diabetes,ICD10,E08.359
diabetes,ICD10,E08.3591
diabetes,ICD10,E08.3592
diabetes,ICD10,E08.3593
diabetes,ICD10,E08.3599
diabetes,ICD10,E08.36
diabetes,ICD10,E08.37X1
diabetes,ICD10,E08.37X2
diabetes,ICD10,E08.37X3
diabetes,ICD10,E08.37X9
diabetes,ICD10,E08.39
diabetes,ICD10,E08.40
diabetes,ICD10,E08.41
diabetes,ICD10,E08.42
diabetes,ICD10,E08.43
diabetes,ICD10,E08.44
diabetes,ICD10,E08.49
diabetes,ICD10,E08.51
diabetes,ICD10,E08.52
diabetes,ICD10,E08.59
diabetes,ICD10,E08.610
diabetes,ICD10,E08.618
diabetes,ICD10,E08.620
diabetes,ICD10,E08.621
diabetes,ICD10,E08.622
diabetes,ICD10,E08.628
diabetes,ICD10,E08.630
diabetes,ICD10,E08.638
diabetes,ICD10,E08.641
diabetes,ICD10,E08.649
diabetes,ICD10,E08.65
diabetes,ICD10,E08.69
diabetes,ICD10,E08.8
diabetes,ICD10,E08.9
diabetes,ICD10,E09.00
diabetes,ICD10,E09.01
diabetes,ICD10,E09.10
diabetes,ICD10,E09.11
diabetes,ICD10,E09.21
diabetes,ICD10,E09.22
diabetes,ICD10,E09.29
diabetes,ICD10,E09.311
diabetes,ICD10,E09.319
diabetes,ICD10,E09.321
diabetes,ICD10,E09.3211
diabetes,ICD10,E09.3212
diabetes,ICD10,E09.3213
diabetes,ICD10,E09.3219
diabetes,ICD10,E09.329
diabetes,ICD10,E09.3291
diabetes,ICD10,E09.3292
diabetes,ICD10,E09.3293
diabetes,ICD10,E09.3299
diabetes,ICD10,E09.331
diabetes,ICD10,E09.3311
diabetes,ICD10,E09.3312
diabetes,ICD10,E09.3313
diabetes,ICD10,E09.3319
diabetes,ICD10,E09.339
diabetes,ICD10,E09.3391
