ICD-10 code,Description,Body system,Progressive,code heading
A15.0,Tuberculosis of lung,pulmonary/respiratory,no,A15
A15.4,Tuberculosis of intrathoracic lymph nodes,pulmonary/respiratory,no,A15
A15.5,Tuberculosis of larynx; trachea and bronchus,pulmonary/respiratory,no,A15
A15.6,Tuberculous pleurisy,pulmonary/respiratory,no,A15
A15.7,Primary respiratory tuberculosis,pulmonary/respiratory,no,A15
A15.8,Other respiratory tuberculosis,pulmonary/respiratory,no,A15
A15.9,Respiratory tuberculosis; unspecified,pulmonary/respiratory,no,A15
A17.0,Tuberculous meningitis,neurological,yes,A170
A17.1,Meningeal tuberculoma,neurological,no,A171
A17.81,Tuberculoma of brain and spinal cord,neurological,no,A1781
A17.82,Tuberculous meningoencephalitis,neurological,yes,A1782
A17.83,Tuberculous neuritis,neurological,no,A1783
A17.89,Other tuberculosis of nervous system,neurological,yes,A1789
A17.9,Tuberculosis of nervous system; unspecified,neurological,yes,A179
A18.01,Tuberculosis of spine,musculoskeletal,no,A180
A18.02,Tuberculous arthritis of other joints,musculoskeletal,no,A180
A18.03,Tuberculosis of other bones,musculoskeletal,no,A180
A18.09,Other musculoskeletal tuberculosis,musculoskeletal,no,A180
A18.10,Tuberculosis of genitourinary system; unspecified,genitourinary,no,A181
A18.11,Tuberculosis of kidney and ureter,genitourinary,no,A181
A18.12,Tuberculosis of bladder,genitourinary,no,A181
A18.13,Tuberculosis of other urinary organs,genitourinary,no,A181
A18.14,Tuberculosis of prostate,genitourinary,no,A181
A18.15,Tuberculosis of other male genital organs,genitourinary,no,A181
A18.16,Tuberculosis of cervix,genitourinary,no,A181
A18.17,Tuberculous female pelvic inflammatory disease,genitourinary,no,A181
A18.18,Tuberculosis of other female genital organs,genitourinary,no,A181
A18.2,Tuberculous peripheral lymphadenopathy,immunological,no,A182
A18.31,Tuberculous peritonitis,gastrointestinal,no,A183
A18.32,Tuberculous enteritis,gastrointestinal,no,A183
A18.39,Retroperitoneal tuberculosis,gastrointestinal,no,A183
A18.4,Tuberculosis of skin and subcutaneous tissue,dermatological,no,A184
A18.50,Tuberculosis of eye; unspecified,opthalmological,no,A185
A18.51,Tuberculous episcleritis,opthalmological,no,A185
A18.52,Tuberculous keratitis,opthalmological,no,A185
A18.53,Tuberculous chorioretinitis,opthalmological,no,A185
A18.54,Tuberculous iridocyclitis,opthalmological,no,A185
A18.59,Other tuberculosis of eye,opthalmological,no,A185
A18.6,Tuberculosis of (inner) (middle) ear,otologic,no,A186
A18.7,Tuberculosis of adrenal glands,endocrinological,no,A187
A18.81,Tuberculosis of thyroid gland,endocrinological,no,A1881
A18.82,Tuberculosis of the endocrine glands,endocrinological,no,A1882
A18.84,Tuberculosis of heart,cardiac,no,A1884
A18.85,Tuberculosis of spleen,immunological,no,A1885
A18.89,Tuberculosis of other sites,pulmonary/respiratory,no,A1889
A19.0,Acute miliary tuberculosis of a single specified site,pulmonary/respiratory,no,A19
A19.1,Acute miliary tuberculosis of multiple sites,pulmonary/respiratory,no,A19
A19.2,Acute miliary tuberculosis; unspecified,pulmonary/respiratory,no,A19
A19.8,Other miliary tuberculosis,pulmonary/respiratory,no,A19
A19.9,Miliary tuberculosis; unspecified,pulmonary/respiratory,no,A19
A30.0,Indeterminate leprosy,neurological,no,A30
A30.1,Tuberculoid leprosy,neurological,no,A30
A30.2,Borderline tuberculoid leprosy,neurological,no,A30
A30.3,Borderline leprosy,neurological,no,A30
A30.4,Borderline lepromatous leprosy,neurological,no,A30
A30.5,Lepromatous leprosy,neurological,no,A30
A30.8,Other forms of leprosy,neurological,no,A30
A30.9,Leprosy; unspecified,neurological,no,A30
A50.01,Early congenital syphilitic oculopathy,neurological,yes,A50
A50.02,Early congenital syphilitic osteochrondropathy,neurological,yes,A50
A50.03,Early congenital syphilitic pharyngitis,neurological,yes,A50
A50.04,Early congenital syphilitic pneumonia,neurological,yes,A50
A50.05,Early congenital syphilitic rhinitis,neurological,yes,A50
A50.06,Early cutaneous congenital syphilis,neurological,yes,A50
A50.07,Early mucocutaneous congenital syphilis,neurological,yes,A50
A50.08,Early visceral congenital syphilis,neurological,yes,A50
A50.09,Other early congenital syphilis; symptomatic,neurological,yes,A50
A50.1,Early congenital syphilis; latent,neurological,yes,A50
A50.2,Early congenital syphilis; unspecified,neurological,yes,A50
A50.30,Late congenital syphilitic oculopathy; unspecified,neurological,yes,A50
A50.31,Late congenital syphilitic interstitial keratitis,neurological,yes,A50
A50.32,Late congenital syphilitic chorioretinitis,neurological,yes,A50
A50.39,Other late congenital syphilitic oculopathy,neurological,yes,A50
A50.40,Late congenital neurosyphilis; unspecified,neurological,yes,A50
A50.41,Late congenital syphilitic meningitis,neurological,yes,A50
A50.42,Late congenital syphilitic encephalitis,neurological,yes,A50
A50.43,Late congenital syphilitic polyneuropathy,neurological,yes,A50
A50.44,Late congenital syphilitic optic nerve atrophy,neurological,yes,A50
A50.45,Juvenile general paresis,neurological,yes,A50
A50.49,Other late congenital neurosyphilis,neurological,yes,A50
A50.51,Clutton's joints,neurological,yes,A50
A50.52,Hutchinson's teeth,neurological,yes,A50
A50.53,Hutchinson's triad,neurological,yes,A50
A50.54,Late congenital cardiovascular syphilis,neurological,yes,A50
A50.55,Late congenital syphilitic arthropathy,neurological,yes,A50
A50.56,Late congenital syphilitic osteochrondropathy,neurological,yes,A50
A50.57,Syphilitic saddle nose,neurological,yes,A50
A50.59,Other late congenital syphilis; symptomatic,neurological,yes,A50
A50.6,Late congenital syphilis; latent,neurological,yes,A50
A50.7,Late congenital syphilis; unspecified,neurological,yes,A50
A50.9,Congenital syphilis; unspecified,neurological,yes,A50
A52.10,Symptomatic neurosyphilis; unspecified,neurological,yes,A521
A52.11,Tabes dorsalis,neurological,yes,A521
A52.12,Other cerebrospinal syphilis,neurological,yes,A521
A52.13,Late syphilitic meningitis,neurological,yes,A521
A52.14,Late syphilitic encephalitis,neurological,yes,A521
A52.15,Late syphilitic neuropathy,neurological,yes,A521
A52.16,Charcot's arthropathy (tabetic),neurological,yes,A521
A52.17,General paresis,neurological,yes,A521
A52.19,Other symptomatic neurosyphilis,neurological,yes,A521
A52.2,Asymptomatic neurosyphilis,neurological,yes,A522
A52.3,Neurosyphilis; unspecified,neurological,yes,A523
A52.71,Late syphilitic oculopathy,neurological,yes,A527
A52.72,Syphilis of lung and bronchus,neurological,yes,A527
A52.73,Symptomatic late syphilis of other respiratory organs,neurological,yes,A527
A52.74,Syphilis of liver and other viscera,neurological,yes,A527
A52.75,Syphilis of kidney and ureter,neurological,yes,A527
A52.76,Other genitourinary symptomatic late syphilis,neurological,yes,A527
A52.77,Syphilis of bone and joint,neurological,yes,A527
