linkid,loc_start,loc_end,geocode,latitude,longitude,block_group_count,natrank_avg,staterank_avg
101759,2010-04-29,NULL,08001007900,39.745700,-104.879000,4,75,9.25
101874,2010-12-24,NULL,08001008000,39.745600,-104.851000,6,50,7.333333333
101584,2009-08-16,NULL,08001008000,39.744200,-104.855000,6,50,7.333333333
101097,2009-08-02,NULL,08001008523,39.999900,-104.697000,4,21.33333333,3
102104,2009-02-12,NULL,08001008523,39.993000,-104.725000,4,21.33333333,3
100125,2011-11-11,NULL,08001008550,39.909000,-104.936000,4,30,4.5
102307,2009-11-23,NULL,08001008551,39.889200,-104.916000,1,9,1
102297,2010-07-18,NULL,08001009103,39.882600,-104.916000,2,74.5,9
101857,2011-12-24,NULL,08001009401,39.854000,-105.027000,3,43.66666667,6.333333333
101868,2009-07-14,NULL,08001009401,39.845700,-105.039000,3,43.66666667,6.333333333
101284,2014-05-28,NULL,08001009409,39.891100,-105.048000,2,19,3
102323,2010-11-20,NULL,08001009751,39.800900,-105.026000,2,76,9
102238,2012-07-27,NULL,08001060000,39.959000,-104.992000,2,8,1.5
101831,2009-04-26,NULL,08005005611,39.599200,-104.976000,4,24,4
101042,2011-08-21,NULL,08005005621,39.599600,-105.053000,2,7.5,1.5
100993,2009-03-05,NULL,08005005625,39.591600,-104.982000,2,32.5,5
101305,2013-03-09,NULL,08005005635,39.602400,-104.938000,3,17,2.666666667
100219,2014-08-09,NULL,08005005635,39.607500,-104.925000,3,17,2.666666667
101260,2010-12-10,NULL,08005006706,39.590700,-104.918000,3,10.33333333,1.666666667
102059,2011-07-18,NULL,08005006711,39.606800,-104.923000,4,12.25,2
102295,2010-04-17,NULL,08005006808,39.624000,-104.871000,3,4.333333333,1
102025,2014-11-01,NULL,08005006854,39.639900,-104.883000,1,10,2
101359,2011-01-26,NULL,08005006855,39.603000,-104.845000,2,9,1
102324,2013-10-25,NULL,08005006855,39.614000,-104.836000,2,9,1
100487,2014-01-04,NULL,08005081100,39.700300,-104.812000,4,72.25,8.5
102066,2009-05-01,NULL,08005081400,39.676700,-104.827000,4,40.75,6.25
101188,2010-10-02,NULL,08005082600,39.697100,-104.789000,4,61.25,8
100953,2009-10-04,NULL,08005082600,39.706100,-104.785000,4,61.25,8
101442,2009-11-09,NULL,08005083500,39.669600,-104.781000,5,34.4,4.8
101049,2009-08-01,NULL,08005083900,39.642900,-104.820000,2,45.5,6.5
101096,2009-06-06,NULL,08005084500,39.656400,-104.791000,2,60,7
101105,2012-05-21,NULL,08005086700,39.585900,-104.693000,2,5.5,1
100921,2009-02-19,NULL,08013012707,40.018100,-105.210000,2,46.5,5.5
100558,2010-06-30,NULL,08013012800,40.017100,-105.095000,5,9.4,1.8
101014,2011-12-15,NULL,08013012907,40.010000,-105.070000,2,22.5,3.5
102126,2009-11-05,NULL,08013013210,40.152400,-105.111000,3,34.33333333,5.333333333
100141,2010-07-01,NULL,08013060600,39.914800,-105.205000,3,30,4
101991,2012-02-13,NULL,08013060600,39.927400,-105.186000,3,30,4
101592,2014-05-09,NULL,08014031100,39.929300,-105.119000,3,76.33333333,9.666666667
101084,2012-12-10,NULL,08031000905,39.725800,-105.029000,4,65.5,8.75
100459,2011-02-14,NULL,08031001301,39.702600,-105.015000,5,51.6,7.6
100210,2009-09-08,NULL,08031001302,39.697600,-104.993000,3,58,8
100596,2009-09-20,NULL,08031001403,39.684200,-105.000000,2,45,7
100908,2011-11-07,NULL,08031001702,39.744300,-104.995000,2,32.5,5
102102,2011-10-25,NULL,08031002100,39.711500,-104.997000,5,24.4,3.8
102240,2013-12-22,NULL,08031002100,39.715400,-104.999000,5,24.4,3.8
101691,2010-07-24,NULL,08031002802,39.723800,-104.986000,4,42.75,5.75
101959,2011-03-04,NULL,08031004104,39.752700,-104.920000,6,27.33333333,4.333333333
101402,2010-03-25,NULL,08031004104,39.758200,-104.907000,6,27.33333333,4.333333333
101860,2010-09-21,NULL,08031004106,39.759800,-104.879000,1,6,1
101043,2012-11-06,NULL,08031004303,39.720400,-104.939000,4,2,1
101895,2009-12-05,NULL,08031004303,39.721600,-104.938000,4,2,1
100947,2012-05-22,NULL,08031005001,39.704700,-104.921000,2,31,5
101727,2012-05-14,NULL,08031005002,39.704600,-104.911000,5,35.6,5.4
101668,2009-02-13,NULL,08031005502,39.639700,-105.043000,1,28,4
102150,2011-12-23,NULL,08031006901,39.676500,-104.907000,5,55.4,7.2
100925,2006-02-12,NULL,08031007037,39.697300,-104.868000,3,49.66666667,6.666666667
101192,2009-01-20,NULL,08035013901,39.558200,-104.710000,4,11.75,1.75
100931,2011-08-18,NULL,08035013901,39.554400,-104.752000,4,11.75,1.75
101327,2012-02-08,NULL,08035014001,39.563600,-104.855000,3,29,4.666666667
100555,2013-11-23,NULL,08035014011,39.510500,-104.862000,1,13,2
100180,2009-02-02,NULL,08035014011,39.534300,-104.867000,1,13,2
101387,2009-09-13,NULL,08035014012,39.468800,-104.818000,4,12,2.25
102007,2009-07-28,NULL,08035014013,39.441400,-104.811000,2,7,1.5
101970,2010-06-23,NULL,08035014108,39.546600,-104.963000,3,15.33333333,2.666666667
101102,2009-02-11,NULL,08035014114,39.555500,-104.892000,2,26,4.5
101521,2009-03-22,NULL,08035014505,39.355300,-104.845000,3,22.66666667,3.666666667
102230,2011-03-01,NULL,08039961206,39.362300,-104.662000,2,15.5,2.5
102124,2009-08-10,NULL,08059009808,39.818900,-105.273000,4,13,2.25
101705,2009-12-11,NULL,08059009837,39.838600,-105.174000,2,4.5,1
101375,2009-04-09,NULL,08059010100,39.732100,-105.177000,4,56,7
102024,2009-11-01,NULL,08059010208,39.822400,-105.068000,4,35.5,5.5
101239,2011-12-01,NULL,08059010305,39.803700,-105.086000,4,48.25,7
100150,2011-12-14,NULL,08059010503,39.768100,-105.129000,3,21.33333333,3.333333333
101027,2013-11-16,NULL,08059011724,39.657800,-105.164000,2,10.5,1.5
101824,2009-11-20,NULL,08059012041,39.626200,-105.112000,4,20.5,3.25
100391,2009-04-18,NULL,08059012042,39.617500,-105.120000,2,20.5,3.5
101582,2010-05-28,NULL,08059012047,39.599900,-105.103000,3,34.33333333,5.666666667
100907,2005-07-16,NULL,08059015900,39.648500,-105.122000,2,23.5,3.5
101497,2010-07-25,NULL,08123001902,40.022000,-104.716000,2,53,7
102192,2012-07-26,NULL,08123002103,40.160400,-105.032000,4,19,3
