linkid,loc_start,loc_end,geocode,latitude,longitude,block_group_count,natrank_avg,staterank_avg
104508,2010-11-11,NULL,08001008308,39.744600,-104.810000,3,80,9.333333333
104017,2005-02-25,NULL,08001008309,39.753800,-104.795000,3,78.66666667,9.333333333
104873,2010-06-17,NULL,08001008353,39.770300,-104.645000,5,58,7.6
104920,2013-09-24,NULL,08001008353,39.814300,-104.642000,5,58,7.6
105327,2009-09-11,NULL,08001008353,39.752900,-104.712000,5,58,7.6
105019,2009-11-19,NULL,08001008401,39.740300,-104.407000,2,38,5
103961,2006-02-18,NULL,08001008401,39.789100,-104.458000,2,38,5
105046,2010-01-09,NULL,08001008505,39.893200,-104.987000,6,40,6.333333333
104190,2012-02-07,NULL,08001008507,39.905000,-104.966000,5,36.8,5.8
104773,2010-07-28,NULL,08001008523,39.925000,-104.846000,4,21.33333333,3
104187,2010-03-28,NULL,08001008524,39.942300,-104.938000,5,23.8,3.6
104460,2012-08-27,NULL,08001008540,39.938200,-104.886000,1,18,3
105252,2011-11-09,NULL,08001008540,39.942300,-104.886000,1,18,3
104665,2009-03-28,NULL,08001008546,39.927100,-104.931000,2,37.5,5.5
100170,2009-08-08,NULL,08001008551,39.886400,-104.923000,1,9,1
105329,2010-09-05,NULL,08001008709,39.801100,-104.905000,5,79.2,9.4
104487,2012-12-29,NULL,08001009203,39.882800,-104.982000,3,77.66666667,8.666666667
104448,2014-12-24,NULL,08001009204,39.880600,-104.972000,3,30,4.333333333
104928,2012-03-30,NULL,08001009401,39.858200,-105.053000,3,43.66666667,6.333333333
105307,2009-07-11,NULL,08001009407,39.860000,-105.028000,3,42.33333333,6.666666667
104687,2009-12-20,NULL,08001015000,39.805000,-104.980000,2,78,9.5
100597,2009-01-17,NULL,08005005551,39.668700,-105.015000,2,66.5,8.5
104415,2011-06-05,NULL,08005005619,39.618200,-105.033000,4,21.75,3.75
105186,2011-03-03,NULL,08005005625,39.589500,-104.978000,2,32.5,5
104506,2009-05-10,NULL,08005005626,39.587200,-104.973000,2,34.5,5.5
