yr,TRACT,wt_category,count
2017,102,Class I Obese,1
2017,102,Normal,1
2017,102,Overweight,3
2017,201,Normal,4
2017,201,Underweight,1
2017,202,Class II Obese,1
2017,202,Normal,1
2017,202,Overweight,2
2017,301,Class I Obese,4
2017,301,Normal,2
2017,301,Overweight,1
2017,303,Class I Obese,1
2017,303,Normal,1
2017,303,Overweight,1
2017,402,Class I Obese,1
2017,402,Normal,1
2017,402,Overweight,1
2017,501,Overweight,1
2017,502,Class I Obese,1
2017,502,Normal,1
2017,502,Overweight,3
2017,600,Normal,2
2017,600,Overweight,1
2017,702,Class I Obese,1
2017,702,Normal,4
2017,800,Overweight,2
2017,902,Class I Obese,1
2017,902,Class II Obese,1
2017,902,Normal,1
2017,902,Overweight,1
2017,903,Class I Obese,1
2017,903,Normal,2
2017,903,Overweight,1
2017,904,Class I Obese,1
2017,904,Normal,1
2017,905,Class I Obese,2
2017,905,Normal,2
2017,905,Overweight,1
2017,1000,Class I Obese,1
2017,1000,Normal,2
2017,1101,Class I Obese,2
2017,1101,Normal,1
2017,1101,Overweight,1
2017,1102,Class I Obese,2
2017,1102,Normal,1
2017,1102,Underweight,1
2017,1301,Class I Obese,3
2017,1301,Overweight,2
2017,1302,Class II Obese,1
2017,1302,Normal,3
2017,1302,Underweight,2
2017,1401,Class II Obese,1
2017,1401,Underweight,1
2017,1402,Class I Obese,1
2017,1402,Underweight,1
2017,1403,Class II Obese,1
2017,1403,Normal,5
2017,1500,Class I Obese,1
2017,1500,Normal,6
2017,1500,Overweight,4
2017,1600,Class I Obese,2
2017,1600,Normal,1
2017,1600,Overweight,2
2017,1600,Underweight,1
2017,1701,Class I Obese,1
2017,1702,Class I Obese,2
2017,1702,Normal,3
2017,1800,Class I Obese,1
2017,1800,Overweight,1
2017,1901,Class I Obese,1
2017,1901,Normal,3
2017,1902,Class I Obese,2
2017,1902,Class II Obese,1
2017,1902,Normal,8
2017,1902,Overweight,7
2017,1902,Underweight,1
2017,1906,Class I Obese,1
2017,1906,Class II Obese,1
2017,1906,Normal,4
2017,1906,Overweight,2
2017,1907,Class I Obese,5
2017,1907,Class II Obese,1
2017,1907,Class III Obese,1
2017,1907,Normal,8
2017,1907,Overweight,2
2017,1908,Class I Obese,2
2017,1908,Class III Obese,1
2017,1908,Normal,3
2017,1908,Overweight,2
2017,2000,Class I Obese,3
2017,2000,Normal,1
2017,2000,Overweight,2
2017,2005,Overweight,1
2017,2005,Underweight,1
2017,2006,Class I Obese,1
2017,2006,Normal,1
2017,2006,Overweight,1
2017,2006,Underweight,1
2017,2007,Normal,4
2017,2008,Class I Obese,1
2017,2008,Class II Obese,2
2017,2009,Class I Obese,4
2017,2009,Class III Obese,1
2017,2009,Normal,6
2017,2009,Overweight,2
2017,2009,Underweight,1
2017,2010,Class I Obese,8
